Process 0: Starting ES0:100 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 1: Starting ES1:150 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 2: Starting ES2:200 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES0: Generation 0, Mean Error: 10800.612012294709
Process 3: Starting ES3:250 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES1: Generation 730, Mean Error: 6728.288483593652
ES2: Generation 630, Mean Error: 7044.02469513696
ES0: Generation 970, Mean Error: 6934.15162506369
ES1: Generation 740, Mean Error: 6738.153184791394
ES3: Generation 530, Mean Error: 8119.237718982054
ES0: Generation 980, Mean Error: 7612.795938632127
ES2: Generation 640, Mean Error: 7214.056796614081
ES1: Generation 750, Mean Error: 6883.312343147447
ES0: Generation 990, Mean Error: 7881.380359311834
ES3: Generation 540, Mean Error: 8428.089385530302
ES2: Generation 650, Mean Error: 7233.268786842894
ES1: Generation 760, Mean Error: 7051.556027213834
ES0: Generation 1000, Mean Error: 8129.428336605226
ES0: Generation 1010, Mean Error: 7392.138437520834
ES1: Generation 770, Mean Error: 7212.9207548897675
ES2: Generation 660, Mean Error: 7224.337457012894
ES3: Generation 550, Mean Error: 8256.044270917986
ES0: Generation 1020, Mean Error: 7372.571966084786
ES1: Generation 780, Mean Error: 7081.749173912952
ES2: Generation 670, Mean Error: 7617.4424542774395
ES0: Generation 1030, Mean Error: 7382.855575172661
ES3: Generation 560, Mean Error: 7700.714515333654
ES1: Generation 790, Mean Error: 6772.686194921929
ES0: Generation 1040, Mean Error: 7185.992926069212
ES2: Generation 680, Mean Error: 7701.4266438450795
ES0: Generation 1050, Mean Error: 7386.998307211354
ES3: Generation 570, Mean Error: 7855.019771814516
ES1: Generation 800, Mean Error: 7313.687888843599
ES0: Generation 1060, Mean Error: 7193.01295457624
ES2: Generation 690, Mean Error: 8682.850164180812
ES1: Generation 810, Mean Error: 7099.810660566083
ES3: Generation 580, Mean Error: 7068.189985574256
