Process 0: Starting GA0 training on Rosen dataset at Sat Nov 11 19:23:09 2017
Setting up the network with 2 inputs and 1 output(s)
Process 1: Starting GA1 training on Rosen dataset at Sat Nov 11 19:23:09 2017
Setting up the network with 2 inputs and 1 output(s)
GA2: Generation 5700, Mean Error: 6036.375980721876
GA1: Generation 5700, Mean Error: 5894.365827078414
GA3: Generation 5700, Mean Error: 5852.835272188425
GA0: Generation 5800, Mean Error: 6115.936152715553
GA2: Generation 5800, Mean Error: 6041.083521476875
GA1: Generation 5800, Mean Error: 5981.338470253722
GA3: Generation 5800, Mean Error: 6028.862940406737
GA0: Generation 5900, Mean Error: 6165.90726141023
GA2: Generation 5900, Mean Error: 6049.622842653075
GA1: Generation 5900, Mean Error: 5989.391439872219
GA3: Generation 5900, Mean Error: 6002.323927035828
GA0: Generation 6000, Mean Error: 6103.0179624900975
GA2: Generation 6000, Mean Error: 5992.132594232102
GA1: Generation 6000, Mean Error: 6210.73374693513
GA3: Generation 6000, Mean Error: 5923.088353553248
GA0: Generation 6100, Mean Error: 6050.8366166029455
GA2: Generation 6100, Mean Error: 6010.26980748905
GA1: Generation 6100, Mean Error: 6237.120896053309
GA3: Generation 6100, Mean Error: 5882.187612809746
GA0: Generation 6200, Mean Error: 5982.837790734747
GA1: Generation 6200, Mean Error: 5948.192896535212
GA2: Generation 6200, Mean Error: 6003.801287059075
GA3: Generation 6200, Mean Error: 5899.466811273487
GA0: Generation 6300, Mean Error: 6082.45630695237
GA1: Generation 6300, Mean Error: 5888.212430296246
GA2: Generation 6300, Mean Error: 5926.089077946011
GA3: Generation 6300, Mean Error: 5870.635408197501
GA0: Generation 6400, Mean Error: 6001.924088982887
GA1: Generation 6400, Mean Error: 5859.931931119834
GA2: Generation 6400, Mean Error: 6021.151626025138
GA3: Generation 6400, Mean Error: 5928.62671273522
GA0: Generation 6500, Mean Error: 6028.9655693896375
GA1: Generation 6500, Mean Error: 5974.540164624984
GA2: Generation 6500, Mean Error: 6204.046042008655
GA3: Generation 6500, Mean Error: 5817.577901096432
GA0: Generation 6600, Mean Error: 5980.451736639961
GA1: Generation 6600, Mean Error: 5916.122282286348
GA2: Generation 6600, Mean Error: 6167.236542357408
GA3: Generation 6600, Mean Error: 5783.255226304342
GA0: Generation 6700, Mean Error: 5956.035303467122
GA1: Generation 6700, Mean Error: 5929.771341907229
GA2: Generation 6700, Mean Error: 6021.884468486107
GA3: Generation 6700, Mean Error: 5724.920939921443
GA0: Generation 6800, Mean Error: 6027.835870286097
GA1: Generation 6800, Mean Error: 5831.647654763737
GA2: Generation 6800, Mean Error: 6065.734724057479
GA3: Generation 6800, Mean Error: 5791.71595300357
GA0: Generation 6900, Mean Error: 5917.807664144748
GA1: Generation 6900, Mean Error: 5819.108233139591
GA2: Generation 6900, Mean Error: 6045.073095942823
GA3: Generation 6900, Mean Error: 5770.125460890863
GA0: Generation 7000, Mean Error: 5875.479599296536
GA1: Generation 7000, Mean Error: 5936.431328776334
GA2: Generation 7000, Mean Error: 6039.592335987893
GA3: Generation 7000, Mean Error: 5731.400529112927
GA0: Generation 7100, Mean Error: 5888.105361776917
GA1: Generation 7100, Mean Error: 5898.399560414492
GA2: Generation 7100, Mean Error: 6053.170272384697
GA3: Generation 7100, Mean Error: 5690.2939145395485
GA0: Generation 7200, Mean Error: 5954.47248470789
GA1: Generation 7200, Mean Error: 5847.081873198308
GA2: Generation 7200, Mean Error: 6086.326269848178
GA3: Generation 7200, Mean Error: 5689.018748887722
GA0: Generation 7300, Mean Error: 5857.579627195023
GA1: Generation 7300, Mean Error: 5933.963893995278
GA2: Generation 7300, Mean Error: 5950.3222072445615
GA3: Generation 7300, Mean Error: 5752.1786812130085
GA0: Generation 7400, Mean Error: 6047.608039910596
GA1: Generation 7400, Mean Error: 5874.738314191989
GA2: Generation 7400, Mean Error: 5811.185732315638
GA3: Generation 7400, Mean Error: 5758.227718955355
GA0: Generation 7500, Mean Error: 6110.275125387841
GA1: Generation 7500, Mean Error: 5858.558318616776
GA2: Generation 7500, Mean Error: 5925.035070112968
GA3: Generation 7500, Mean Error: 5722.874474706014
GA0: Generation 7600, Mean Error: 6027.809224860732
GA1: Generation 7600, Mean Error: 5866.712667185341
GA2: Generation 7600, Mean Error: 5989.193649026332
GA3: Generation 7600, Mean Error: 5742.508842170643
GA0: Generation 7700, Mean Error: 6239.762226646941
GA1: Generation 7700, Mean Error: 5982.286742829869
GA2: Generation 7700, Mean Error: 6271.686494326365
GA3: Generation 7700, Mean Error: 5822.771670296462
GA0: Generation 7800, Mean Error: 6280.076961971819
GA1: Generation 7800, Mean Error: 6171.6080122607245
GA2: Generation 7800, Mean Error: 5951.979069961851
GA3: Generation 7800, Mean Error: 5916.96375715595
GA0: Generation 7900, Mean Error: 6227.387919429189
GA1: Generation 7900, Mean Error: 6026.804631513136
GA2: Generation 7900, Mean Error: 5924.910311167342
GA3: Generation 7900, Mean Error: 5919.879361108918
GA0: Generation 8000, Mean Error: 6123.45586883431
GA1: Generation 8000, Mean Error: 5951.649637644139
GA2: Generation 8000, Mean Error: 5754.84820597534
GA3: Generation 8000, Mean Error: 5887.308142796731
GA0: Generation 8100, Mean Error: 6087.854250713759
GA1: Generation 8100, Mean Error: 6030.354331179947
GA2: Generation 8100, Mean Error: 5764.286383243714
GA3: Generation 8100, Mean Error: 5759.380673719374
GA0: Generation 8200, Mean Error: 6089.774649648
GA1: Generation 8200, Mean Error: 6109.794129460912
GA2: Generation 8200, Mean Error: 5792.763840871661
GA3: Generation 8200, Mean Error: 5826.2380838284225
GA0: Generation 8300, Mean Error: 6066.7121659075665
GA1: Generation 8300, Mean Error: 6250.222797170649
GA2: Generation 8300, Mean Error: 5760.980722635504
GA3: Generation 8300, Mean Error: 5853.632207841976
GA0: Generation 8400, Mean Error: 6070.027276277745
GA1: Generation 8400, Mean Error: 6078.787355221996
GA2: Generation 8400, Mean Error: 5781.760958864497
GA3: Generation 8400, Mean Error: 5877.059757145399
GA0: Generation 8500, Mean Error: 5942.195790241564
GA1: Generation 8500, Mean Error: 6219.258383852492
GA2: Generation 8500, Mean Error: 5824.906143425617
GA3: Generation 8500, Mean Error: 5906.682097922663
GA0: Generation 8600, Mean Error: 5958.163569521529
GA1: Generation 8600, Mean Error: 6193.531631072584
GA2: Generation 8600, Mean Error: 5983.606539783492
GA3: Generation 8600, Mean Error: 5950.732579465134
GA0: Generation 8700, Mean Error: 5935.51333642066
GA1: Generation 8700, Mean Error: 6137.899394394982
GA2: Generation 8700, Mean Error: 5864.132222058343
GA3: Generation 8700, Mean Error: 5908.961999040941
GA0: Generation 8800, Mean Error: 5905.217338547626
GA1: Generation 8800, Mean Error: 6066.530645594765
GA2: Generation 8800, Mean Error: 5951.587196378332
GA3: Generation 8800, Mean Error: 5891.368961495977
GA0: Generation 8900, Mean Error: 5861.476654843684
GA1: Generation 8900, Mean Error: 6040.670045808323
GA2: Generation 8900, Mean Error: 5874.635468731608
GA3: Generation 8900, Mean Error: 5815.118078389876
GA0: Generation 9000, Mean Error: 5800.748197502624
GA1: Generation 9000, Mean Error: 5958.147408966801
GA2: Generation 9000, Mean Error: 5955.946896575706
GA3: Generation 9000, Mean Error: 5921.150829005584
GA0: Generation 9100, Mean Error: 5840.710508039658
GA1: Generation 9100, Mean Error: 5930.506973956371
GA2: Generation 9100, Mean Error: 5893.252388334567
GA3: Generation 9100, Mean Error: 5825.754234631172
GA0: Generation 9200, Mean Error: 5887.070999064157
GA1: Generation 9200, Mean Error: 5962.911453536524
GA2: Generation 9200, Mean Error: 5932.279396789161
GA3: Generation 9200, Mean Error: 5829.178694027168
GA0: Generation 9300, Mean Error: 5962.537337478926
GA1: Generation 9300, Mean Error: 5935.410265038965
GA2: Generation 9300, Mean Error: 5778.848368747894
GA3: Generation 9300, Mean Error: 5886.68044633087
GA0: Generation 9400, Mean Error: 6078.550803847993
GA1: Generation 9400, Mean Error: 5911.436358664758
GA2: Generation 9400, Mean Error: 5964.4694415558815
GA3: Generation 9400, Mean Error: 5819.257395271427
GA0: Generation 9500, Mean Error: 6135.408503370727
GA1: Generation 9500, Mean Error: 5963.948018547777
GA2: Generation 9500, Mean Error: 5952.528955273837
GA3: Generation 9500, Mean Error: 5770.154092407007
GA0: Generation 9600, Mean Error: 6116.9837514183655
GA1: Generation 9600, Mean Error: 5959.075789149329
GA2: Generation 9600, Mean Error: 5792.328174287865
GA3: Generation 9600, Mean Error: 5716.474717259618
GA0: Generation 9700, Mean Error: 6151.7508635039385
GA1: Generation 9700, Mean Error: 6033.347020713678
GA2: Generation 9700, Mean Error: 5785.936904057326
GA3: Generation 9700, Mean Error: 5782.583552575311
GA0: Generation 9800, Mean Error: 6042.655009510915
GA1: Generation 9800, Mean Error: 5926.039613922655
GA2: Generation 9800, Mean Error: 5878.9103004425715
GA3: Generation 9800, Mean Error: 5773.812266329947
GA0: Generation 9900, Mean Error: 6204.372812992062
GA1: Generation 9900, Mean Error: 5902.831936296967
GA2: Generation 9900, Mean Error: 5899.4330681499605
GA3: Generation 9900, Mean Error: 5837.996400993105
GA0: Generation 10000, Mean Error: 6128.06936502551
GA1: Generation 10000, Mean Error: 5903.862331375355
GA2: Generation 10000, Mean Error: 5942.668994825733
GA3: Generation 10000, Mean Error: 5880.215161427333
GA0: Generation 10100, Mean Error: 6299.792648820208
GA1: Generation 10100, Mean Error: 5877.978685726596
GA2: Generation 10100, Mean Error: 6043.191614335789
GA3: Generation 10100, Mean Error: 5898.997619724371
GA0: Generation 10200, Mean Error: 6433.080613506167
GA2: Generation 10200, Mean Error: 6058.413488587501
GA1: Generation 10200, Mean Error: 5837.3730837055155
GA3: Generation 10200, Mean Error: 5949.014343380462
GA0: Generation 10300, Mean Error: 6412.956192769899
GA2: Generation 10300, Mean Error: 6080.278404568625
GA1: Generation 10300, Mean Error: 5968.530460213389
GA3: Generation 10300, Mean Error: 5785.327659487648
GA0: Generation 10400, Mean Error: 6030.110212652641
GA2: Generation 10400, Mean Error: 5946.496765633358
GA1: Generation 10400, Mean Error: 5808.331727446543
GA3: Generation 10400, Mean Error: 5873.983614024825
GA0: Generation 10500, Mean Error: 6128.735692355114
GA2: Generation 10500, Mean Error: 5936.176522425058
GA1: Generation 10500, Mean Error: 5870.861323869352
GA3: Generation 10500, Mean Error: 5823.325648112909
GA0: Generation 10600, Mean Error: 6041.889660259907
GA2: Generation 10600, Mean Error: 5826.996833179111
GA1: Generation 10600, Mean Error: 5921.729891799498
GA0: Generation 10700, Mean Error: 6012.97470883392
GA3: Generation 10600, Mean Error: 5832.196408911527
GA2: Generation 10700, Mean Error: 5901.954864527549
GA1: Generation 10700, Mean Error: 5847.08347647154
GA0: Generation 10800, Mean Error: 5954.459192833414
GA3: Generation 10700, Mean Error: 5859.158397785401
GA2: Generation 10800, Mean Error: 6027.504200626049
GA1: Generation 10800, Mean Error: 5987.968882218806
GA0: Generation 10900, Mean Error: 6012.782765938892
GA3: Generation 10800, Mean Error: 6294.621509310719
GA2: Generation 10900, Mean Error: 6103.237720152314
GA1: Generation 10900, Mean Error: 6090.1113200260015
GA0: Generation 11000, Mean Error: 6072.927067613273
GA3: Generation 10900, Mean Error: 5933.475195867693
GA2: Generation 11000, Mean Error: 6005.571352130842
GA1: Generation 11000, Mean Error: 5912.699479090353
GA0: Generation 11100, Mean Error: 6011.819940265128
GA3: Generation 11000, Mean Error: 5937.624083001166
GA2: Generation 11100, Mean Error: 5763.663609562096
GA0: Generation 11200, Mean Error: 6039.1088916204135
GA1: Generation 11100, Mean Error: 5823.392443922147
GA3: Generation 11100, Mean Error: 5942.380647623751
GA2: Generation 11200, Mean Error: 5838.512164258355
GA0: Generation 11300, Mean Error: 5879.690531982762
GA1: Generation 11200, Mean Error: 5919.508208337983
GA3: Generation 11200, Mean Error: 6127.425104059474
GA2: Generation 11300, Mean Error: 5787.587070314884
GA0: Generation 11400, Mean Error: 5939.436609161343
GA1: Generation 11300, Mean Error: 5829.576439027991
GA3: Generation 11300, Mean Error: 5903.685087337699
GA2: Generation 11400, Mean Error: 5838.111419147216
GA0: Generation 11500, Mean Error: 5939.917622265588
GA1: Generation 11400, Mean Error: 5850.298475503073
GA3: Generation 11400, Mean Error: 5788.793689765784
GA2: Generation 11500, Mean Error: 5981.145821226273
GA0: Generation 11600, Mean Error: 5988.10112757582
GA1: Generation 11500, Mean Error: 5919.283304663595
GA3: Generation 11500, Mean Error: 5731.312538891019
GA2: Generation 11600, Mean Error: 5881.031148476164
GA0: Generation 11700, Mean Error: 5894.832070729589
GA1: Generation 11600, Mean Error: 5818.680753913604
GA3: Generation 11600, Mean Error: 5754.650698888259
GA2: Generation 11700, Mean Error: 5978.585406058407
GA0: Generation 11800, Mean Error: 5900.255480281037
GA1: Generation 11700, Mean Error: 5802.372077943173
GA3: Generation 11700, Mean Error: 5837.984472187238
GA2: Generation 11800, Mean Error: 6011.513770015845
GA0: Generation 11900, Mean Error: 5945.077673902104
GA1: Generation 11800, Mean Error: 5941.457049447702
GA3: Generation 11800, Mean Error: 5823.812061050616
GA2: Generation 11900, Mean Error: 6024.132160755083
GA0: Generation 12000, Mean Error: 5891.993545458652
GA1: Generation 11900, Mean Error: 5882.289525725841
GA3: Generation 11900, Mean Error: 5855.731573322334
GA2: Generation 12000, Mean Error: 5980.954884942989
GA0: Generation 12100, Mean Error: 5890.415916751713
GA1: Generation 12000, Mean Error: 5925.312972316892
GA3: Generation 12000, Mean Error: 5756.004082473737
GA2: Generation 12100, Mean Error: 5985.7637311587705
GA0: Generation 12200, Mean Error: 5858.864183700829
GA1: Generation 12100, Mean Error: 6071.122107586298
GA3: Generation 12100, Mean Error: 5703.757242741257
GA2: Generation 12200, Mean Error: 6025.058259962462
GA0: Generation 12300, Mean Error: 5869.568020833401
GA1: Generation 12200, Mean Error: 5972.815538307118
GA3: Generation 12200, Mean Error: 5721.204187071364
GA2: Generation 12300, Mean Error: 5941.044315077593
GA0: Generation 12400, Mean Error: 6079.084418693841
GA1: Generation 12300, Mean Error: 6186.236486420503
GA3: Generation 12300, Mean Error: 5778.1953863699555
GA2: Generation 12400, Mean Error: 5993.965178581146
GA0: Generation 12500, Mean Error: 6001.034807724177
GA1: Generation 12400, Mean Error: 5999.024496583375
GA3: Generation 12400, Mean Error: 5808.962538239699
GA2: Generation 12500, Mean Error: 5950.271222913071
GA0: Generation 12600, Mean Error: 5855.511077184576
GA1: Generation 12500, Mean Error: 5963.3462166448735
GA3: Generation 12500, Mean Error: 5818.870396143055
GA2: Generation 12600, Mean Error: 6036.41323895677
