Setting up the network with 2 inputs and 1 output(s)
Starting GA training at Fri Nov 10 17:25:26 2017
Generation 2290, Mean Error: 7544.489606025281
Generation 2295, Mean Error: 7542.157948518188
Generation 2300, Mean Error: 7541.34678723062
Generation 2305, Mean Error: 7547.656478794716
Generation 2310, Mean Error: 7550.777613533559
Generation 2315, Mean Error: 7553.199192724912
Generation 2320, Mean Error: 7550.107618129215
Generation 2325, Mean Error: 7548.921807405619
Generation 2330, Mean Error: 7549.279169896032
Generation 2335, Mean Error: 7559.921384616464
Generation 2340, Mean Error: 7565.884467348381
Generation 2345, Mean Error: 7557.492186880697
Generation 2350, Mean Error: 7554.392666245144
Generation 2355, Mean Error: 7555.845049721522
Generation 2360, Mean Error: 7550.34551296974
Generation 2365, Mean Error: 7549.515437607694
Generation 2370, Mean Error: 7550.710925822255
Generation 2375, Mean Error: 7550.066182202645
Generation 2380, Mean Error: 7550.70957730086
Generation 2385, Mean Error: 7552.649004694583
Generation 2390, Mean Error: 7545.8546469881685
Generation 2395, Mean Error: 7546.539332330815
Generation 2400, Mean Error: 7545.706063424773
Generation 2405, Mean Error: 7543.55912255662
Generation 2410, Mean Error: 7539.9917848785735
Generation 2415, Mean Error: 7537.036343384913
Generation 2420, Mean Error: 7537.401298933945
Generation 2425, Mean Error: 7537.325353482158
Generation 2430, Mean Error: 7534.279044878169
Generation 2435, Mean Error: 7536.443485617212
Generation 2440, Mean Error: 7538.144947868581
Generation 2445, Mean Error: 7543.7149883119355
Generation 2450, Mean Error: 7543.628788724108
Generation 2455, Mean Error: 7550.450142552625
Generation 2460, Mean Error: 7546.846362033217
Generation 2465, Mean Error: 7536.914405153126
Generation 2470, Mean Error: 7539.575273825946
Generation 2475, Mean Error: 7541.812799453971
Generation 2480, Mean Error: 7538.784554762162
Generation 2485, Mean Error: 7544.2916817846635
Generation 2490, Mean Error: 7554.246511520452
Generation 2495, Mean Error: 7558.504001881228
Generation 2500, Mean Error: 7574.772804721482
Generation 2505, Mean Error: 7574.753534704571
Generation 2510, Mean Error: 7584.141280832338
Generation 2515, Mean Error: 7610.063992944186
Generation 2520, Mean Error: 7624.612065985251
Generation 2525, Mean Error: 7616.23259457907
Generation 2530, Mean Error: 7607.892163003773
Generation 2535, Mean Error: 7570.141057728609
Generation 2540, Mean Error: 7571.122575092909
Generation 2545, Mean Error: 7570.673349010337
Generation 2550, Mean Error: 7591.0465285085975
Generation 2555, Mean Error: 7596.982084539533
Generation 2560, Mean Error: 7629.493542545372
Generation 2565, Mean Error: 7618.287087036972
Generation 2570, Mean Error: 7605.689197165659
Generation 2575, Mean Error: 7617.724733683269
Generation 2580, Mean Error: 7612.982028624535
Generation 2585, Mean Error: 7617.614682950689
Generation 2590, Mean Error: 7638.411413003595
Generation 2595, Mean Error: 7632.24746209967
Generation 2600, Mean Error: 7698.037172608352
Generation 2605, Mean Error: 7646.063009614169
Generation 2610, Mean Error: 7639.441226390284
Generation 2615, Mean Error: 7639.936293555484
Generation 2620, Mean Error: 7628.220088393507
Generation 2625, Mean Error: 7658.008132569705
Generation 2630, Mean Error: 7622.523545638326
Generation 2635, Mean Error: 7607.189907805481
Generation 2640, Mean Error: 7631.986207463416
Generation 2645, Mean Error: 7576.158004828725
Generation 2650, Mean Error: 7568.545445451969
Generation 2655, Mean Error: 7569.392860986565
